"Site","Latitude","Longitude","suitability_lgm","suitability_now","change_in_suitability"
"Site 1",24.0195,-110.096,0.922771990299225,0.881029009819031,-0.0417429804801941
"Site 2",27.52944,-113.31609,0.189013004302979,0.187965005636215,-0.00104799866676331
"Site 3",27.2028,-112.408,0.611877024173737,0.616361975669861,0.00448495149612427
"Site 4",25.60521,-111.32638,0.225198000669479,0.28762298822403,0.0624249875545502
"Site 5",28.22308,-113.18263,0.389831990003586,0.461356997489929,0.0715250074863434
"Site 6",25.91409,-112.08062,0.505186021327972,0.267302989959717,-0.237883031368256
"Site 7",26.0155,-111.35475,0.934750974178314,0.901877999305725,-0.0328729748725891
"Site 8",25.55757,-111.21563,0.491656005382538,0.496464997529984,0.00480899214744568
"Site 9",28.40846,-112.86985,0.355645000934601,0.524267017841339,0.168622016906738
"Site 10",26.63783,-109.327,0.0541656985878944,0.0562844984233379,0.0021187998354435
"Site 11",29.32541,-114.29353,0.167355000972748,0.218593999743462,0.0512389987707138
"Site 12",26.94589,-112.04613,0.47163000702858,0.162724003195763,-0.308906003832817
"Site 13",27.40498,-112.52959,0.331663012504578,0.365191012620926,0.0335280001163483
"Site 14",24.21441,-110.27252,0.68674498796463,0.619518995285034,-0.0672259926795959
"Site 15",25.34819,-111.60056,0.485399007797241,0.412512004375458,-0.0728870034217834
"Site 16",27.18232,-112.66552,0.246325999498367,0.351904988288879,0.105578988790512
"Site 17",25.0247,-111.675,0.321175992488861,0.174437999725342,-0.146737992763519
"Site 18",24.00789,-109.85071,0.447189003229141,0.145522996783257,-0.301666006445885
"Site 19",24.58843,-110.74599,0.781481027603149,0.862560987472534,0.0810799598693848
"Site 20",28.72796,-113.48973,0.3992860019207,0.421440005302429,0.0221540033817291
"Site 21",26.20876,-111.37833,0.712405979633331,NA,NA
"Site 22",23.2855,-110.10429,0.761507987976074,0.721700012683868,-0.0398079752922058
"Site 23",24.2115,-110.951,0.403926014900208,0.432873010635376,0.0289469957351685
"Site 24",24.87611,-110.69175,0.723963975906372,0.422609001398087,-0.301354974508286
"Site 25",27.0367,-112.986,0.356570988893509,0.279105007648468,-0.0774659812450409
"Site 26",28.03661,-113.39991,0.321853011846542,0.39750000834465,0.0756469964981079
"Site 27",24.13389,-110.46236,0.721112012863159,0.73248702287674,0.0113750100135803
"Site 28",29.01457,-113.94486,0.489847987890244,0.526413023471832,0.0365650355815887
"Site 29",27.3632,-112.964,0.248563006520271,0.321052998304367,0.0724899917840958
"Site 30",28.66056,-113.99141,0.343122988939285,0.261790007352829,-0.0813329815864563
"Site 31",28.96651,-113.66787,0.344494998455048,0.395346999168396,0.0508520007133484
